id,localTime,utcTime,mag,magType,depth_km,lat,lon,place,status,dist_from_epicenter_km
SGC2026prchfd,2026-08-10 13:30,2026-08-10 18:30,1.8,MLr_1,20.0,4.713,-76.732,"Sipí - Chocó, Colombia",manual,59.4
SGC2026prczxs,2026-08-10 13:51,2026-08-10 18:51,1.6,MLr_1,50.0,4.04603598667077,-76.74384508583347,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,108.5
SGC2026prdufp,2026-08-10 14:15,2026-08-10 19:15,0.5,MLr_2,3.0,4.9865,-75.85433333333333,"Belalcazar - Caldas, Colombia",manual,42.5
SGC2026pregdd,2026-08-10 14:29,2026-08-10 19:29,2.4,MLr_1,88.0,4.706989213583429,-76.46465360142905,"Sipí - Chocó, Colombia",manual,32.6
SGC2026prehjl,2026-08-10 14:30,2026-08-10 19:30,2.4,MLr_1,80.0,4.79476380211743,-76.36594120019623,"San José del Palmar - Chocó, Colombia",manual,18.2
SGC2026prenfq,2026-08-10 14:37,2026-08-10 19:37,2.0,MLr_1,81.0,4.889941066792853,-76.32802749550447,"San José del Palmar - Chocó, Colombia",manual,12.2
SGC2026pretem,2026-08-10 14:44,2026-08-10 19:44,1.5,MLr_1,1.0,4.764,-76.80733333333333,"Nóvita - Chocó, Colombia",manual,66.1
SGC2026prfgvv,2026-08-10 15:00,2026-08-10 20:00,1.9,MLr_1,91.0,4.844666666666667,-76.51683333333334,"Nóvita - Chocó, Colombia",manual,33.0
SGC2026prgtqx,2026-08-10 15:45,2026-08-10 20:45,2.1,MLr_1,54.0,4.108429971291325,-76.76224365684594,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,103.8
SGC2026prinvw,2026-08-10 16:39,2026-08-10 21:39,2.1,MLr_1,89.0,4.858215311901045,-76.31294261987051,"San José del Palmar - Chocó, Colombia",manual,10.4
SGC2026prjvok,2026-08-10 17:18,2026-08-10 22:18,1.8,MLr_1,34.0,4.66997583287632,-76.62756421515863,"Nóvita - Chocó, Colombia",manual,50.3
SGC2026prkftx,2026-08-10 17:29,2026-08-10 22:29,1.8,MLr_1,77.0,4.805339053748033,-76.34680206349373,"San José del Palmar - Chocó, Colombia",manual,15.8
SGC2026prklxf,2026-08-10 17:37,2026-08-10 22:37,2.4,MLr_1,96.0,4.534166666666667,-76.76816666666667,"Istmina - Chocó, Colombia",manual,71.3
SGC2026prkqst,2026-08-10 17:42,2026-08-10 22:42,2.4,MLr_2,71.0,3.967779124604312,-76.30897149579506,"Buga - Valle del Cauca, Colombia",manual,100.8
SGC2026prldko,2026-08-10 17:57,2026-08-10 22:57,1.1,MLr_1,72.0,4.929069497826083,-76.22478388892304,"San José del Palmar - Chocó, Colombia",manual,6.6
SGC2026prlknc,2026-08-10 18:05,2026-08-10 23:05,2.3,MLr_1,77.0,4.664688207061019,-76.48149941527484,"Sipí - Chocó, Colombia",manual,36.9
SGC2026prlnvx,2026-08-10 18:09,2026-08-10 23:09,2.1,MLr_1,81.0,4.811684204726394,-76.44279066869056,"San José del Palmar - Chocó, Colombia",manual,25.5
SGC2026prlpdz,2026-08-10 18:10,2026-08-10 23:10,2.3,MLr_1,85.0,4.738714968475237,-76.46267993983074,"Sipí - Chocó, Colombia",manual,30.6
SGC2026prlzew,2026-08-10 18:22,2026-08-10 23:22,2.4,MLr_1,71.0,4.093666666666667,-76.83683333333333,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,110.1
SGC2026prmedx,2026-08-10 18:28,2026-08-10 23:28,2.4,MLr_1,90.0,4.46481595124263,-76.66915351242386,"Sipí - Chocó, Colombia",manual,67.1
SGC2026prmpdg,2026-08-10 18:41,2026-08-10 23:41,1.6,MLr_1,46.0,4.948333333333333,-76.455,"Nóvita - Chocó, Colombia",manual,27.5
SGC2026prnbdl,2026-08-10 18:55,2026-08-10 23:55,2.0,MLr_1,112.0,4.644166666666667,-76.79416666666667,"Medio San Juan (Andagoya) - Chocó, Colombia",manual,68.4
SGC2026prnfxe,2026-08-10 19:00,2026-08-11 00:00,1.7,MLr_1,30.0,4.137,-76.56216666666667,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,89.9
SGC2026prnnvq,2026-08-10 19:09,2026-08-11 00:09,1.5,MLr_1,38.0,4.6678607825502,-76.66166437463849,"Sipí - Chocó, Colombia",manual,53.9
SGC2026prntwi,2026-08-10 19:16,2026-08-11 00:16,1.5,MLr_1,88.0,4.742945069127478,-76.45843679439746,"Sipí - Chocó, Colombia",manual,30.0
SGC2026proiwx,2026-08-10 19:34,2026-08-11 00:34,1.9,MLr_1,93.0,4.805339053748033,-76.41503781984456,"San José del Palmar - Chocó, Colombia",manual,22.8
SGC2026pronbg,2026-08-10 19:39,2026-08-11 00:39,1.6,MLr_1,54.0,4.091509568682361,-76.76642462015974,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,105.7
SGC2026proyoy,2026-08-10 19:52,2026-08-11 00:52,2.0,MLr_1,89.0,4.731312292333815,-76.48076605274824,"Sipí - Chocó, Colombia",manual,32.8
SGC2026prozzt,2026-08-10 19:54,2026-08-11 00:54,1.5,MLr_1,79.0,4.824374506683117,-76.37888213098061,"San José del Palmar - Chocó, Colombia",manual,18.3
SGC2026prpcef,2026-08-10 19:56,2026-08-11 00:56,2.5,MLr_1,94.0,4.42145741955716,-76.71689009969809,"Istmina - Chocó, Colombia",manual,74.3
SGC2026prpdrq,2026-08-10 19:58,2026-08-11 00:58,1.5,MLr_2,79.0,4.356948384610485,-75.97816677579172,"Zarzal - Valle del Cauca, Colombia",manual,63.0
SGC2026prphnw,2026-08-10 20:02,2026-08-11 01:02,1.7,MLr_2,88.0,4.124292848737229,-76.1391797975805,"Andalucía - Valle del Cauca, Colombia",manual,83.4
SGC2026prpjbh,2026-08-10 20:04,2026-08-11 01:04,2.3,MLr_1,15.0,4.682166666666666,-76.68333333333334,"Sipí - Chocó, Colombia",manual,55.4
SGC2026prpivq,2026-08-10 20:04,2026-08-11 01:04,1.2,MLr_1,30.0,4.656166666666667,-76.2755,"Versalles - Valle del Cauca, Colombia",manual,24.6
SGC2026prpqgk,2026-08-10 20:12,2026-08-11 01:12,1.9,MLr_1,101.0,4.463666666666667,-76.666,"Sipí - Chocó, Colombia",manual,67.0
SGC2026prpqgj,2026-08-10 20:13,2026-08-11 01:13,1.8,MLr_1,92.0,4.813799255052515,-76.2977985853923,"San José del Palmar - Chocó, Colombia",manual,10.6
SGC2026prqdnt,2026-08-10 20:28,2026-08-11 01:28,1.9,MLr_1,74.0,4.317666666666667,-76.7535,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,85.3
SGC2026prqfry,2026-08-10 20:30,2026-08-11 01:30,1.8,MLr_1,2.0,4.220666666666666,-76.7525,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,93.3
SGC2026prrltb,2026-08-10 21:08,2026-08-11 02:08,2.0,MLr_1,94.0,4.987233381794396,-76.19414016198245,"San José del Palmar - Chocó, Colombia",manual,13.3
SGC2026prromw,2026-08-10 21:11,2026-08-11 02:11,2.3,MLr_1,63.0,4.111833333333333,-76.8245,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,107.7
SGC2026prrwbd,2026-08-10 21:19,2026-08-11 02:19,2.6,MLr_1,0.0,4.753,-76.81233333333333,"Sipí - Chocó, Colombia",manual,66.9
SGC2026prsvas,2026-08-10 21:49,2026-08-11 02:49,1.5,MLr_1,111.0,5.234,-75.99666666666667,"Pueblo Rico - Risaralda, Colombia",manual,47.4
SGC2026prsyru,2026-08-10 21:53,2026-08-11 02:53,2.4,MLr_1,56.0,4.234275465695495,-76.76178103821213,"El Litoral del San Juán (Docordó) - Chocó, Colombia",manual,92.8
SGC2026prtsfo,2026-08-10 22:15,2026-08-11 03:15,2.9,MLr_1,89.0,4.851870160922684,-76.35556173021479,"San José del Palmar - Chocó, Colombia",manual,15.2
SGC2026prtrtm,2026-08-10 22:15,2026-08-11 03:15,1.7,MLr_1,30.0,4.533666666666667,-76.77616666666667,"Istmina - Chocó, Colombia",manual,72.1
SGC2026prtxgh,2026-08-10 22:21,2026-08-11 03:21,1.7,MLr_1,61.0,5.017901611523143,-76.4726524967371,"Condoto - Chocó, Colombia",manual,32.5
SGC2026prubqh,2026-08-10 22:26,2026-08-11 03:26,2.5,MLr_1,91.0,4.881480865488371,-76.33225070546574,"San José del Palmar - Chocó, Colombia",manual,12.5
SGC2026prucvf,2026-08-10 22:28,2026-08-11 03:28,1.5,MLr_1,99.0,5.261166666666667,-75.97466666666666,"Pueblo Rico - Risaralda, Colombia",manual,51.3
