time_utc,lat,lon,depth_km,mag,mag_type,region
2026-08-16 01:23:20,4.454,-76.686,48.02,3.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-16 03:56:34,4.414,-76.763,45.48,2.4,MLr_1,"Istmina - Choco, Colombia"
2026-08-16 06:35:29,4.577,-76.697,39.93,2.9,MLr_1,"Sipi - Choco, Colombia"
2026-08-16 08:26:04,4.582,-76.675,41.44,3.3,MLr_1,"Sipi - Choco, Colombia"
2026-08-16 09:34:06,4.456,-76.682,42.48,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-16 10:12:23,4.681,-76.222,109.51,2.1,M,"El Cairo - Valle del Cauca, Colombia"
2026-08-16 10:37:34,4.793,-76.445,85.68,2.7,MLr_1,"San Jose del Palmar - Choco, Colombia"
2026-08-16 11:15:02,4.389,-76.711,90.99,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-16 12:17:55,4.46,-76.811,33.58,2.0,MLr_1,"Istmina - Choco, Colombia"
2026-08-16 12:22:18,4.499,-76.682,41.55,2.2,MLr_1,"Istmina - Choco, Colombia"
2026-08-16 13:30:28,4.623,-76.761,21.79,3.4,MLr_1,"Sipi - Choco, Colombia"
2026-08-16 13:32:56,4.587,-76.689,38.78,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-16 14:39:01,4.583,-76.676,41.09,2.0,MLr_1,"Sipi - Choco, Colombia"
2026-08-16 15:26:07,4.511,-76.659,40.63,2.0,MLr_1,"Sipi - Choco, Colombia"
2026-08-16 15:48:09,4.721,-76.504,88.45,2.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-16 17:42:05,4.571,-76.676,44.09,3.2,MLr_1,"Sipi - Choco, Colombia"
2026-08-16 18:44:49,4.427,-76.722,44.32,2.8,MLr_1,"Istmina - Choco, Colombia"
2026-08-16 19:26:40,4.535,-76.65,39.93,2.1,M,"Sipi - Choco, Colombia"
2026-08-16 20:58:26,4.543,-76.644,43.17,2.5,MLr_1,"Sipi - Choco, Colombia"
2026-08-16 22:41:49,4.599,-76.726,38.66,2.1,MLr_1,"Sipi - Choco, Colombia"
